GRACE/GRACE-FO record index,START DAY,END DAY,Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days,,
1,91,120,1,1,APR,2002,91,2002,120,"91-93, 100,101,118",,117,,,105.5
2,121,151,2,2,MAY,2002,121,2002,151,"121, 128, 134, 139-151",127,127,,,136
NA,152,181,3,NA,JUN,2002,152,2002,181,152-181,,,,,166.5
NA,182,212,4,NA,JUL,2002,182,2002,212,182-212,,,,,197
3,213,243,5,3,AUG,2002,213,2002,243,,240,,240,,228
4,244,273,6,4,SEP,2002,244,2002,273,,270,,,,258.5
5,274,304,7,5,OCT,2002,274,2002,304,,,,281,,289
6,305,334,8,6,NOV,2002,305,2002,334,330,,,,,319.5
7,335,365,9,7,DEC,2002,335,2002,365,349,,348,"352,353, 358",,350
8,1,31,10,8,JAN,2003,1,2003,31,"22, 24, 27, 29","26, 30",26,,,381
9,32,59,11,9,FEB,2003,32,2003,59,,"39, 57",,"39, 51, 52, 57",,410.5
10,60,90,12,10,MAR,2003,60,2003,90,,65,,"65, 66, 68",,440
11,91,120,13,11,APR,2003,91,2003,120,,,,"92, 106",,470.5
12,121,151,14,12,MAY,2003,121,2003,151,142-151,,,,,501
NA,152,181,15,NA,JUN,2003,152,2003,181,152-181,,,,,531.5
13,182,212,16,13,JUL,2003,182,2003,212,,,,,,562
14,213,243,17,14,AUG,2003,213,2003,243,,,,,,593
15,244,273,18,15,SEP,2003,244,2003,273,,264,,,,623.5
16,274,304,19,16,OCT,2003,274,2003,304,,,,301,,654
17,305,334,20,17,NOV,2003,305,2003,334,,328,,324,,684.5
18,335,365,21,18,DEC,2003,335,2003,365,,338,,,,715
19,1,13,22,19,JAN,2004,1,2004,13,14-31,,,,,737
20,35,60,23,20,FEB,2004,35,2004,60,,,,,,
21,61,91,24,21,MAR,2004,61,2004,91,,,,74,,
22,92,121,25,22,APR,2004,92,2004,121,,,,"96, 100, 117",,
23,122,152,26,23,MAY,2004,122,2004,152,,145-147,"132-134, 146, 147",145,,
24,153,182,27,24,JUN,2004,153,2004,182,,,,173,,
25,183,213,28,25,JUL,2004,183,2004,213,,,,,,
26,214,244,29,26,AUG,2004,214,2004,244,,,,222,,
27,245,274,30,27,SEP,2004,245,2004,274,,,,,,
28,275,305,31,28,OCT,2004,275,2004,305,,,,,,
29,306,335,32,29,NOV,2004,306,2004,335,,,,,,
30,336,366,33,30,DEC,2004,336,2004,366,345-346,"344, 351",,"347, 348",,
31,1,31,34,31,JAN,2005,1,2005,31,,,,,,
32,32,59,35,32,FEB,2005,32,2005,59,,,"53, 55",41,,
33,60,90,36,33,MAR,2005,60,2005,90,73-75,,,76,,
34,91,120,37,34,APR,2005,91,2005,120,,,,,,
35,121,151,38,35,MAY,2005,121,2005,151,,,,,,
36,152,181,39,36,JUN,2005,152,2005,181,,,,158,,
37,182,212,40,37,JUL,2005,182,2005,212,,,,,,
38,213,243,41,38,AUG,2005,213,2005,243,,,,236,,
39,244,273,42,39,SEP,2005,244,2005,273,,,,,,
40,274,304,43,40,OCT,2005,274,2005,304,,,,,,
41,305,334,44,41,NOV,2005,305,2005,334,,,,,,
42,335,365,45,42,DEC,2005,335,2005,365,343-346,"337, 338, 347",,353,,
43,1,31,46,43,JAN,2006,1,2006,31,,,,,,
44,32,59,47,44,FEB,2006,32,2006,59,,,,,,
45,60,90,48,45,MAR,2006,60,2006,90,85,,,,,
46,91,120,49,46,APR,2006,91,2006,120,,,,,,
47,121,151,50,47,MAY,2006,121,2006,151,,,,,,
48,152,181,51,48,JUN,2006,152,2006,181,,,167,"166, 167, 171, 172",,
49,182,212,52,49,JUL,2006,182,2006,212,,,,,,
50,213,243,53,50,AUG,2006,213,2006,243,,,,,,
51,244,273,54,51,SEP,2006,244,2006,273,,,,262,,
52,274,304,55,52,OCT,2006,274,2006,304,,,,275,,
53,305,334,56,53,NOV,2006,305,2006,334,,,,,,
54,335,365,57,54,DEC,2006,335,2006,365,358-360,,,,,
55,1,31,58,55,JAN,2007,1,2007,31,,"12, 13, 17","12, 13, 17",,,
56,32,59,59,56,FEB,2007,32,2007,59,,,,,,
57,60,90,60,57,MAR,2007,60,2007,90,,,,,,
